target	regulator	var.exp.median
Rbfox1	Zfp335	0.7608537956518322
D2hgdh	Esr1	0.7532535154186366
Ilf2	Arx	0.7524330425697883
Dlgap1	Tal1	0.7526143964987415
Tex30	Gata6	0.7617379633805264
Ncl	Max	0.756271716628145
Uba1	Pgr	0.7793984999896111
Rab33a	Nfil3	0.7521741595514913
Pam	Foxk1	0.7484798875874759
Borcs7	Xbp1	0.7671798028822018
Ina	Epas1	0.7566542494343458
Trim8	Gm5294	0.755816424257933
Rab33a	Myf6	0.745674782270866
Cdc42se1	Lyl1	0.7551408953382608
Bend6	Nfe2	0.7457474255983791
Tmem178	Maff	0.7632345035283458
Shtn1	Bach2	0.7527405583646389
Il1rapl1	Alx4	0.7564289782088879
St8sia4	Maff	0.7578448196117749
Fam122a	Foxa3	0.7562526751052931
Prkce	Lhx6	0.763463189782265
Tmsb4x	Spic	0.7389376083471086
Rpl37a	Foxo1	0.7564207450857455
Kdm5c	Foxp2	0.7446738905675236
Usp11	Cdx4	0.7454821289591393
Sox2	Vsx2	0.7466332217076772
Skil	Arx	0.7532887119212426
Ogt	Pou2f1	0.7281104845195376
Cdc42ep3	Sox4	0.7496433908997748
Ndufa11	Meis3	0.7453616420764584
Klf8	Zfp335	0.7557324182935954
St18	Sox5	0.7539510053270144
Riok3	Gm5294	0.7929223124859928
Pam	Foxa2	0.7360734254790328
Tmem65	Tcf4	0.7479248520802305
Zfx	Zic5	0.7745902896738683
Ogfr	Atf1	0.8830075269414255
Fam168b	En2	0.7514004100081336
Dpm3	Ahr	0.7364905134952937
Zcchc12	Hoxb8	0.7351651767294811
Pgrmc1	Lef1	0.7447039859652694
Sh3gl1	Zbtb33	0.7253293047393743
Celf3	Esx1	0.7026556312595493
Ubxn6	Nfyb	0.7702567916082366
Ubqln4	Irx3	0.7330952968402942
Stmn3	Nfe2	0.7257610989313702
Ogt	Dbp	0.7540617535460543
Tspan6	Pou2f1	0.7228247889023143
Krtcap2	Ahr	0.7209438077628617
Mpnd	Rbpjl	0.7195913303175984
Tnik	Dlx2	0.7355597337738535
Tnks2	Arx	0.7193302848205633
Rlim	Sox9	0.7268116644547518
Idh1	Prrx2	0.7553133931814641
Zcchc12	Foxm1	0.7222017035852588
Pcmtd1	Foxj3	0.7238831338558229
Il1rapl1	Nobox	0.7270372267771051
Tceal1	Bhlhe40	0.7264451348834167
Rsrc1	Myf6	0.7146530742277672
Bend6	Jun	0.7082132759714794
Chd7	Sox5	0.7022092523741161
Zfp518a	Zfp42	0.7197221148061658
Pcdh18	Egr2	0.9227385815381868
Khdrbs2	Alx1	0.7203021239769429
Ncl	Mxi1	0.7176609772369299
Cdk16	Rxra	0.7429083238965557
Clk1	Foxk1	0.7028411438321875
Rsrc1	Alx1	0.7019179371184188
Skil	Prrx2	0.7113180434042408
Cdk16	Esr2	0.7147319870347901
Tcea2	Ddit3	0.7081588899961351
Plpp3	Egr2	0.7064484675927303
Sst	Egr2	0.7019086790034282
Ppp2r2b	Tcf4	0.6967404860161601
Timm17b	Hoxc6	0.7065500430511691
Nolc1	Tbx5	0.7202696054308981
Pou3f3	Alx4	0.7017905404189604
Ralyl	Hoxc10	0.7267288215910934
Klf7	Hoxb7	0.7357788769953597
Btrc	Maff	0.7591798386163453
Cox7b	Irf4	0.6966745957752375
Fbxw7	Zbtb7a	0.7068699194287946
Ncl	Bhlhe41	0.6952456539106253
Fsd1	Rbpjl	0.6954596838327279
Sept2	Gm5294	0.7185283748606281
Tceal1	Rfx2	0.6978682924371311
Rpl36	Rbpjl	0.7233031907184495
Mrpl30	Irf9	0.7045904638239724
Celf3	Foxq1	0.6898524005640432
Pik3ca	Gm5294	0.6925782356856783
Ldb1	Max	0.7072688696723064
Cacna2d3	Myog	0.6796698784182378
Rpl14	Pou3f1	0.7591125760732138
Pja1	Bhlhe41	0.6902735543818364
Sh3gl1	Lhx3	0.7150074539564079
Tspan7	Hoxd13	0.6883172466064913
Clk1	Foxo1	0.682508687390178
Sec62	Hsf1	0.70352062863613
Celf3	Lhx2	0.6757405730212035
Rps8	Pou3f1	0.7023992766367517
Pam	Rel	0.6846663523020886
Mrgbp	Fos	0.6821698997241539
Ndufb11	Nr2f6	0.6896168378538363
Etfdh	Olig2	0.6852148709484791
Kcnip2	Snai2	0.6939907101417448
Zcchc12	Prrx2	0.6692221979228663
Chuk	Nr1d1	0.7290968381623368
Sfxn3	Nr5a1	0.6929327242126598
Tubb2a	Zfp281	0.693350407314404
Rell2	Gfi1b	0.6775655658656964
Morf4l2	Batf	0.6804365251367257
Smarca2	Mef2a	0.6800068666398265
Cox7b	Trp53	0.677624717115719
Gabbr1	Mafk	0.6702111506568906
Shtn1	Rorc	0.6701451027124975
Suv39h1	Pbx1	0.6782195650015123
Tspan6	Tcf21	0.6729608810806748
Pou3f3	Pbx3	0.6741459650794461
Zcchc12	Ascl2	0.6881121406988461
March5	Klf9	0.685050558855604
Khdrbs2	Foxo1	0.6682617639674567
Riok3	Uncx	0.7559473411748088
Klf8	Lhx3	0.6686299229503436
Sox2	Myf6	0.6555681739107004
Rplp0	Pou3f1	0.6859404360487018
Sema6b	Neurod2	0.6657840718539773
Actb	Hmg20b	0.6761781208626654
Bzw1	Gata4	0.6763361467544494
Etfdh	Esrra	0.6763961664515328
Klf7	Hoxb8	0.6533681173299156
Cntn6	Maff	0.6713170405059173
Clk1	Foxa2	0.6615442859495186
Ilf2	Alx1	0.6697803445419029
Gm21887	Pbx1	0.7747868247557343
Rsrc1	Prrx2	0.6540632237765753
Gpm6b	Olig3	0.6529685127735705
Rsrc1	Ascl1	0.6771347156033891
Bcas2	Tcf7l2	0.6513127013480469
Ndufb8	Nr1h2	0.6622356914297776
Ttc14	Foxj1	0.660930830722134
Pex2	Nr5a1	0.6571446536818666
Ywhaz	Hmg20b	0.6536835373128957
Tceal1	Klf1	0.6564267779960073
Efhd2	Sox5	0.6972044986139824
Cdk16	Esrra	0.7084175573547093
Ptprs	Arntl	0.6536562153587351
Pgrmc2	Jund	0.6674541971414538
Ftsj1	Cebpe	0.6476943641827836
Tspyl2	Twist2	0.6537931380604725
Ncl	Npas2	0.6574274607620455
Shd	Sry	0.6466948804904173
Vps4b	Sry	0.6511847059909464
Abhd2	Hmg20b	0.6726787514846048
Dkc1	Ptf1a	0.6485441776253503
Dpysl2	Hmg20b	0.6674572068248652
Emd	Sox6	0.6610773905560241
Polr1c	Neurog2	0.6451387368561422
Mars2	Nr4a1	0.6566523310334262
Pdzd4	Gli2	0.658706378262386
Ralyl	EDL38120.1	0.6563268585547187
Cdc42se1	Zbtb7a	0.6670206867455162
Dner	Lyl1	0.638315240292341
Fxyd6	Hoxd13	0.6505916575546109
Klf8	Trp53	0.6215669037527423
Stk16	Nr2c1	0.6624795560383541
Slc35b2	Crem	0.6328550971148825
Pacsin1	Rora	0.6371833027125202
Igsf21	Egr2	0.7564760286025172
Syt1	Stat3	0.6788706892938791
Gstm7	Tcf12	0.6565380504172753
Egr1	Twist1	0.6718399208616204
Frat2	Aire	0.6808246811799538
Ssr3	Pbx2	0.6436477941668457
Etfdh	Esrrb	0.6552303580479608
Map2	Nfib	0.6502251827069327
Rab33a	Dmrt1	0.6461636249375471
Cox5b	Pax5	0.6391002810483118
Naca	Pou3f1	0.6297000156009638
Nxph2	Nkx2-1	0.6936878814190228
Zeb2	Egr2	0.7980327684410036
Mllt11	Myf5	0.6218548175727336
Smarca2	Tbx21	0.6823402357832135
Rlim	Nr4a2	0.6264604949972536
Pgrmc2	Bhlhe41	0.6279926395165221
Tsn	Otx1	0.6363321692271018
Mtcl1	Taf1	0.6328188436335058
Cystm1	Egr2	0.6640782032179877
Prr3	Foxj2	0.6566375313785036
Igsf3	Myb	0.6436583349584564
Myef2	Hmg20b	0.6360069316445747
Ccdc120	Gli2	0.6518541928018438
Nolc1	Myc	0.6175400929264946
Pam	Alx1	0.6255277490568419
Tubb5	Nfkb1	0.6319961354111719
Cops8	Pitx1	0.6437292805184962
Vapa	Gfi1b	0.6284076139265833
Taz	Nr1h3	0.6632532646739094
Calm2	Nkx2-5	0.6353442541182301
Tpm1	Maz	0.6553626311253784
Ier5	Sox5	0.6393804156884848
Wdr43	Atf1	0.6200726837576949
Pgrmc2	Batf	0.6320639620307014
Ncl	Zbtb33	0.6219088015858927
Pdzd4	Bhlhe41	0.6689365492688952
Zfand5	Sox6	0.6505884743556813
Zfx	Glis2	0.6494157256321869
Dkc1	Nfil3	0.6319967016439587
Clasp1	Sp7	0.6279304276536901
Grid2	Rora	0.9234461842105376
Farsb	Otx2	0.6330674478376093
Tmem178	Mafg	0.6420901049531424
Reln	Rora	0.7610832388246299
Camk1	Tcf4	0.6575396709621026
Rpl8	Pou3f1	0.7028574693324351
Crhbp	Egr2	0.6071042044630482
Ptma	Hes2	0.6089040318441101
Kitl	Hoxd13	0.6122360650593193
Elk1	Nr1i2	0.6080659251681808
Sqle	Nfib	0.6175710828041863
Bcas2	Nkx3-1	0.641243371531695
Smc4	Klf9	0.6164815011627117
Fbxw7	Zbtb7b	0.6051706346386896
Bhlhb9	Arid5b	0.5989803647103027
Suv39h1	Pknox1	0.6284270557371683
Ackr3	Dbx1	0.6110207872109914
Pkia	Foxo3	0.6123923223310708
Nfib	Sox5	0.6135290517216558
