target	regulator	var.exp.median
Mtus2	Klf7	0.6363270936400621
Rbfox1	Bcl6	0.5823155267714765
Zfp804b	Hnf1b	0.592276706423389
Cadm2	Tbx21	0.5614010783199055
Rsph3a	Cdx4	0.5590729563437795
Sgcz	Hnf4g	0.565259264603322
Gm26911	Hnf1b	0.5918993667496371
Rprml	Mecp2	0.5810015061383741
Slc16a2	Neurog2	0.5868123759274122
Doc2b	Foxg1	0.6013088328794888
Lgi2	Bcl6	0.6125308377915084
Whrn	Mecp2	0.5831338950621346
Mef2c	Cic	0.5638533566614956
Alk	Hoxc12	0.5656545905145853
A930015D03Rik	Alx4	0.5918109005745675
Tenm2	Hes5	0.5705820910349082
Arhgap18	Pou1f1	0.6249536315451861
Gm48893	Pou1f1	0.6487145217640818
Mctp1	Egr1	0.5706524939790482
Msra	Cdx4	0.5799135915434552
Gm10406	Creb5	0.6071537818875226
Ntrk2	Tfap2a	0.5799147751910343
Gpm6a	Prdm9	0.5836627470693261
Arap2	Nfil3	0.5773256837801708
Siah3	Myog	0.5872295660166876
9530059O14Rik	Hmx2	0.5840313830593729
Tnr	Foxc1	0.5764957873461665
Neto1	Arid5a	0.5963031218618514
Kcnc4	Cux2	0.5554367158570561
Scn9a	Elk3	0.5607059092719154
Sntg1	Zbtb17	0.5578882322328003
Nckap5	Nfatc3	0.5584871545133041
Gm15541	Ascl1	0.5896612061400264
Ccser1	Bbx	0.5631268733338564
Olfm3	Klf7	0.5657251606053185
Slit2	Cebpa	0.5579889524239869
Mei4	Prdm1	0.6350651769603504
Chsy3	Sp2	0.5595585702960554
Gm28928	Hoxd11	0.5997255717734196
Mpnd	Esx1	0.6877648013662927
Gm13052	Cebpd	0.6232021903918555
Grm7	Bhlha15	0.7132698041994414
Klhl29	Irf1	0.5882871715788288
Chrm3	Dmbx1	0.5865481479786665
Cit	Hoxc6	0.5653153982385022
Dock4	E2f5	0.54224687571561
Cntn1	Cphx1	0.552071170145338
Gm12120	Hoxc11	0.5647208935550942
Tmem178	Hoxa4	0.5512674641307439
Rgs6	Nr4a2	0.5735031132442749
Sorcs2	Nr1i3	0.5687393226682314
Ldb2	Hnf1b	0.6327555510431333
Rgs6	Mecp2	0.5435148398080474
Zfpm2	Crem	0.5660141027389434
B3gat1	Hoxc12	0.5731992148814281
Nek7	Rarg	0.5552729516031345
Chl1	Ahctf1	0.5568819109817094
Sorcs2	Myog	0.5389690931345149
1700027H10Rik	Cebpg	0.5678279905649141
Aifm1	Obox1	0.5844004334102251
Cemip	E2f5	0.5451469650649686
Slc39a8	Hey2	0.5344812755346741
Pigf	Nkx2-4	0.6128669694171136
5330434G04Rik	Hoxc6	0.6085991330258194
Grm1	Tbx3	0.7698970298141191
Gm44151	Prdm14	0.5632805035143097
Ppp2r2b	Hoxd11	0.5479536597831053
Htr2c	Arid3b	0.6070104056870335
Kcnip1	Gata2	0.5527370558020299
Gm26911	Arid5a	0.5554782543625134
Mypn	Cebpa	0.5368880504106589
Prkar2b	Ascl1	0.54320419311173
Scn5a	Hnf1a	0.5881176705456734
Brinp1	Lhx3	0.545141582773468
Nr2f2	Dlx5	0.637756629973912
Kcns3	Dmrt1	0.5805411211954915
Prkca	Glis2	0.5755273694743213
Tox	Dlx3	0.5535316648687839
Tenm3	Nr2f2	0.6402222004648226
