target	regulator	var.exp.median
Lekr1	Ahr	0.8141829151473619
Pou3f3	Foxa3	0.8220644400100432
Ncl	Npas2	0.8134106560419843
Psma7	Epas1	0.8029147488337336
Mrps21	Hes2	0.8397156061026471
Ythdf3	Bbx	0.8137665945705699
Cdc42se1	Dlx5	0.829073058814001
Lancl3	Bcl6	0.8067790318702719
Dkc1	Maf	0.8032976405403714
Prkce	Lhx6	0.7988880102914004
Tceal1	Bhlhe40	0.7960397686219594
Ptprs	Mlxip	0.7992208646319714
Etfdh	Nr2c2	0.7878893535992809
Hdgf	Bach2	0.7994501285088584
Ttc14	Foxc1	0.7910204108028155
Stau2	Smad4	0.8031463995544249
Crhbp	E2f6	0.7976500116036523
D2hgdh	Dbp	0.7883522858837744
Ina	Pgr	0.7842602387080424
Pja1	Bhlhe41	0.7923567506908412
Ier5	Sox5	0.7866040161119547
Gabbr1	Nr1d2	0.8072857175708346
Pou3f3	Hoxa1	0.7913881447041301
Ilf2	Cebpe	0.7960575462307142
Ralyl	Hoxc10	0.7805472174264994
Lancl3	Ets2	0.7852127226370089
Ythdf3	Pou2f1	0.7821453886561411
Ncl	Myc	0.7729392916571609
Ndufb11	Dmrt1	0.7702328949813037
Ttc14	Foxj2	0.7753463510233444
Gabbr1	Mafg	0.8001681933188276
Zfx	Yy1	0.7833542710482253
Sept2	Gm5294	0.7652386381495502
Frat2	Aire	0.7587122934832294
Sh3gl1	Arid3b	0.7807571926213874
Sh3gl1	Tlx2	0.7808981098558505
Ndufb11	Dmrtb1	0.7754104883495537
Phtf1	Tfap2a	0.7783170727673876
Ackr3	Dbx1	0.7659712540857653
Arl3	Foxa3	0.7768035122991126
Ldb1	Mlxip	0.7715600636553763
Trim8	Gm5294	0.7815154661247474
Chd7	Sox5	0.7648770791475399
Etfdh	Ppara	0.7723628104092307
Tubb5	Olig2	0.7744607614376535
Rplp2	Pou3f1	0.8339921629993039
Dkc1	Prdm9	0.7584164359784933
Dnajc19	Nfatc2	0.7515247402109857
Bend6	Bach2	0.8204090000150097
Ndufa11	Nr1h2	0.7600991578394499
Cygb	E2f6	0.7961825147005044
Lancl3	Gli1	0.7709347467045868
Rsrc1	Uncx	0.762193150885047
Gdi1	Ikzf1	0.7718509121462258
Ndufc1	Ikzf1	0.759666304273984
Ldb1	Figla	0.7529662432878783
Rps8	Pou3f1	0.8104763629013225
Dach1	E2f6	0.7727733827429462
Dkc1	Bhlha15	0.761778865909283
Ftsj1	Cebpe	0.7663304498839107
Pou3f3	Foxk1	0.772168633586773
Cdc42ep3	Prrx2	0.7721941304830924
Sox2	Olig3	0.7465241797830959
Mageh1	Pax6	0.7549469150067358
Etfdh	Nr4a2	0.7624011273634687
Tceal1	Zfp740	0.7529617661629229
Cdc42ep3	Sox4	0.7555987700430837
Prr3	Foxj2	0.7567829818655976
Pja1	Nr1d2	0.7560366336393051
Atat1	Ppara	0.7576038661575328
Nfib	Sox5	0.7424525989036206
Gigyf2	Nfatc2	0.7514810326721357
Borcs7	Xbp1	0.7533858288927577
Zfx	Atf1	0.7706676953386431
Ankrd50	Hoxa1	0.7456887077387607
Wac	Glis2	0.7512671854482917
Nolc1	Mycn	0.7424462643901819
Rps15	Pou3f1	0.7150295489559829
Cntn6	Maff	0.7489953000080843
Aig1	Dlx2	0.7446940420066455
Sh3gl1	Sebox	0.7463217290056434
Lancl3	Rela	0.7391239992006151
Etfdh	Rorc	0.7614831168227074
Pam	Foxg1	0.7438350811859564
Ppdpf	Nr1i2	0.8057884352531808
Rab39b	Arid3b	0.7597725343901427
Rab39b	Phf21a	0.798602001729991
Kdm5c	Olig2	0.746611285524645
Idh1	Mef2d	0.7399061098447417
Ndufa11	Meis3	0.7374973460919123
Dpm3	Glis2	0.7643455471313664
Ogfr	Atf1	0.7543754664657072
Ptprm	Pbx3	0.7325714026630551
Spint2	E2f6	0.7378553614824238
Tex30	Cebpe	0.7335970796689237
Lancl3	Spi1	0.732344949603855
Btrc	Mafg	0.7388131306929681
Timm17b	Hoxc6	0.7663393854492059
Cd200	Sall4	0.7649898018319192
Mrpl30	Irf9	0.7312087360741686
Nnat	Stat1	0.8161814667818381
Wac	Esr2	0.7374307884674526
Ilf2	Nfyc	0.7275882444495426
Zfx	Gli2	0.7397073527512367
Pfn2	Nfil3	0.7575428381601512
Lekr1	Fosb	0.7296567305296304
Ncl	Max	0.7216718853617489
Trim2	Nfatc3	0.7311450215114648
Rsrc1	Myf6	0.7325253839978695
BC030500	Maff	0.7092937867885264
Cox7b	Trp53	0.7231745221001229
Egr1	Twist1	0.7212281704604026
Dclk2	Tlx2	0.7314282890677065
Ttc14	Foxj3	0.7341685510633146
Uba1	Pgr	0.7319673043282171
Slc35b2	Crem	0.7275148243598961
Abcf1	Prdm14	0.7386218442442427
Farsb	Otx2	0.7187572924162191
